1,Academics,950.00,"        Kerala Agricultural University is the only institution rendering agricultural education and thus contributing to the major work force of the agriculture in the state. There are three faculties viz. Agriculture, Forestry and Agricultural Engineering. 
        Under academics, an amount of ₹950.00 lakh is set apart for assistance to Rural Agricultural Work Experience (RAWE) programme of final year graduate students, Experiential Learning Programme & Strengthening of UG and PG programme, financial support & research grant for M.Sc & Ph.D students, strengthening Academic Directorate & Examination Wing, strengthening library and Information system and support for conduct of external examinations. 
","['        Kerala Agricultural University is the only institution rendering agricultural education and thus contributing to the major work force of the agriculture in the state.', 'There are three faculties viz.', 'Agriculture, Forestry and Agricultural Engineering.', 'Under academics, an amount of ₹950.00 lakh is set apart for assistance to Rural Agricultural Work Experience (RAWE) programme of final year graduate students, Experiential Learning Programme & Strengthening of UG and PG programme, financial support & research grant for M.Sc & Ph.D students, strengthening Academic Directorate & Examination Wing, strengthening library and Information system and support for conduct of external examinations.']","Under academics, an amount of ₹950.00 lakh is set apart for assistance to Rural Agricultural Work Experience (RAWE) programme of final year graduate students, Experiential Learning Programme & Strengthening of UG and PG programme, financial support & research grant for M.Sc & Ph.D students, strengthening Academic Directorate & Examination Wing, strengthening library and Information system and support for conduct of external examinations."
2,Research,4000.00,"        An amount of ₹4000.00 lakh is provided under the Research component of KAU for the year 2021-22 for undertaking research projects. While the University has suggested certain topics as broad priority areas, the research projects to be taken up by scientists or as network projects will be decided through a field interface mechanism. In view of the observations of Finance Department during the Special Working Group Meeting, project selection and evaluation based on the recommendations of the Project Selection Committee (PSC) comprising of representatives of Department of Agriculture, Kerala State Planning Board and KAU introduced in 2020-21 will be continued in 2021-22 also. The constitution of the PSC will be done by the Vice Chancellor, KAU in consultation with the Agricultural Production Commissioner, Government of Kerala and will include experts from relevant fields. A suitable monitoring system to monitor and report the progress of plan schemes may be developed by the Directorate of Research.
Continuing Projects
The ongoing projects included under the State Plan projects will be strictly evaluated by the Project Selection Committee (PSC) as mentioned above. The Principal Investigators of the projects shall present the progress of the ongoing projects before the PSC. The PSC shall evaluate the performance of the projects and recommend for continuation and modification. The PSC will be convened during May 2021 and list of projects to be continued will be finalized. The funds for continuation of the projects shall be met from the amount of ₹2250.00 lakh earmarked for continuing the research projects. The amount to be earmarked for individual projects during 2021-22 will be allocated after the performance evaluation based on the evaluation criteria. 
b)         New Projects
An amount of ₹1000.00 lakh is earmarked for undertaking new research projects.  The new projects to be funded under the State Plan projects within the broad areas indicated will be presented before the Project Selection Committee (PSC) as mentioned earlier. Within the total corpus, projects will compete among themselves for funding. The Committee will evaluate and recommend the new projects with allocation to be considered for sanction during the year 2021-22.  PSC will be convened during May 2021 and list of projects will be finalized. The project period will not be more than 2-3 years starting 2021-22. The University will issue fresh notification calling for research proposals after the Project Selection Committee is constituted.
The funds for the selected new projects will be met from the amount of ₹1000.00 lakh set apart for undertaking new research projects in the following areas during 2021-22.
","['        An amount of ₹4000.00 lakh is provided under the Research component of KAU for the year 2021-22 for undertaking research projects.', 'While the University has suggested certain topics as broad priority areas, the research projects to be taken up by scientists or as network projects will be decided through a field interface mechanism.', 'In view of the observations of Finance Department during the Special Working Group Meeting, project selection and evaluation based on the recommendations of the Project Selection Committee (PSC) comprising of representatives of Department of Agriculture, Kerala State Planning Board and KAU introduced in 2020-21 will be continued in 2021-22 also.', 'The constitution of the PSC will be done by the Vice Chancellor, KAU in consultation with the Agricultural Production Commissioner, Government of Kerala and will include experts from relevant fields.', 'A suitable monitoring system to monitor and report the progress of plan schemes may be developed by the Directorate of Research.', 'Continuing Projects\nThe ongoing projects included under the State Plan projects will be strictly evaluated by the Project Selection Committee (PSC) as mentioned above.', 'The Principal Investigators of the projects shall present the progress of the ongoing projects before the PSC.', 'The PSC shall evaluate the performance of the projects and recommend for continuation and modification.', 'The PSC will be convened during May 2021 and list of projects to be continued will be finalized.', 'The funds for continuation of the projects shall be met from the amount of ₹2250.00 lakh earmarked for continuing the research projects.', 'The amount to be earmarked for individual projects during 2021-22 will be allocated after the performance evaluation based on the evaluation criteria.', 'b)         New Projects\nAn amount of ₹1000.00 lakh is earmarked for undertaking new research projects.', 'The new projects to be funded under the State Plan projects within the broad areas indicated will be presented before the Project Selection Committee (PSC) as mentioned earlier.', 'Within the total corpus, projects will compete among themselves for funding.', 'The Committee will evaluate and recommend the new projects with allocation to be considered for sanction during the year 2021-22.', 'PSC will be convened during May 2021 and list of projects will be finalized.', 'The project period will not be more than 2-3 years starting 2021-22.', 'The University will issue fresh notification calling for research proposals after the Project Selection Committee is constituted.', 'The funds for the selected new projects will be met from the amount of ₹1000.00 lakh set apart for undertaking new research projects in the following areas during 2021-22.']","        An amount of ₹4000.00 lakh is provided under the Research component of KAU for the year 2021-22 for undertaking research projects.$*In view of the observations of Finance Department during the Special Working Group Meeting, project selection and evaluation based on the recommendations of the Project Selection Committee (PSC) comprising of representatives of Department of Agriculture, Kerala State Planning Board and KAU introduced in 2020-21 will be continued in 2021-22 also.$*The funds for continuation of the projects shall be met from the amount of ₹2250.00 lakh earmarked for continuing the research projects.$*The amount to be earmarked for individual projects during 2021-22 will be allocated after the performance evaluation based on the evaluation criteria.$*b)         New Projects
An amount of ₹1000.00 lakh is earmarked for undertaking new research projects.$*The Committee will evaluate and recommend the new projects with allocation to be considered for sanction during the year 2021-22.$*The project period will not be more than 2-3 years starting 2021-22.$*The funds for the selected new projects will be met from the amount of ₹1000.00 lakh set apart for undertaking new research projects in the following areas during 2021-22."
3,Infrastructure,1000.00,"During 2021-22, an amount of ₹1000.00 lakh is set apart for the Infrastructure Development of the University. The assistance is for maintenance of existing building, electrical work, irrigation and drinking water facility, compound wall and improvements of farm roads.In order to strengthen the Extension activities, an amount of ₹980.00 lakh is provided during 2021-22 for the following activities. An amount of ₹456.00 lakh is set apart for the ongoing projects and ₹ 524.00 lakh for new projects in respective areas ","['During 2021-22, an amount of ₹1000.00 lakh is set apart for the Infrastructure Development of the University.', 'The assistance is for maintenance of existing building, electrical work, irrigation and drinking water facility, compound wall and improvements of farm roads.In order to strengthen the Extension activities, an amount of ₹980.00 lakh is provided during 2021-22 for the following activities.', 'An amount of ₹456.00 lakh is set apart for the ongoing projects and ₹ 524.00 lakh for new projects in respective areas']","During 2021-22, an amount of ₹1000.00 lakh is set apart for the Infrastructure Development of the University.$*The assistance is for maintenance of existing building, electrical work, irrigation and drinking water facility, compound wall and improvements of farm roads.In order to strengthen the Extension activities, an amount of ₹980.00 lakh is provided during 2021-22 for the following activities.$*An amount of ₹456.00 lakh is set apart for the ongoing projects and ₹ 524.00 lakh for new projects in respective areas"
4,Extension,980.00,"An order to strengthen the Extension activities, an amount of ₹980.00 lakh is provided during 2021-22 for the following activities. An amount of ₹456.00 lakh is set apart for the ongoing projects and ₹ 524.00 lakh for new projects in respective areas","['An order to strengthen the Extension activities, an amount of ₹980.00 lakh is provided during 2021-22 for the following activities.', 'An amount of ₹456.00 lakh is set apart for the ongoing projects and ₹ 524.00 lakh for new projects in respective areas']","An order to strengthen the Extension activities, an amount of ₹980.00 lakh is provided during 2021-22 for the following activities.$*An amount of ₹456.00 lakh is set apart for the ongoing projects and ₹ 524.00 lakh for new projects in respective areas"
5,E-governance &Administration,140.00,"        An amount of ₹140.00 lakh is provided for the implementation of total e-governance solution in KAU during 2021-22.  The University will develop a comprehensive e-governance Plan approved by the University, under the supervision of a state level technical agency for obtaining necessary sanction for this project in the Working Group, without which the administrative sanction will not be given. The amount is provided for strengthening                    e-governance and ICT facilities and strengthening of planning activities of KAU.
","['        An amount of ₹140.00 lakh is provided for the implementation of total e-governance solution in KAU during 2021-22.', 'The University will develop a comprehensive e-governance Plan approved by the University, under the supervision of a state level technical agency for obtaining necessary sanction for this project in the Working Group, without which the administrative sanction will not be given.', 'The amount is provided for strengthening                    e-governance and ICT facilities and strengthening of planning activities of KAU.']",        An amount of ₹140.00 lakh is provided for the implementation of total e-governance solution in KAU during 2021-22.
6,Students welfare,44.00,"An amount of ₹44.00 lakh is provided for the implementation of students welfare programmes in KAU. The amount is provided for strengthening of the Directorate of students welfare, skill development, arts and sports competitions and other students welfare activities. All salary expenses of permanent staffs should be met from Non Plan and EAP’s of the University and no post creation is allowed under plan fund. Institutional overheads are not included in State Plan provision of KAU in the budget. Electricity, water charges etc. which are non-plan items are not included under the plan provision. The plan fund will be released as per the administrative sanction issued from Government similar to the system followed for other Universities.","['An amount of ₹44.00 lakh is provided for the implementation of students welfare programmes in KAU.', 'The amount is provided for strengthening of the Directorate of students welfare, skill development, arts and sports competitions and other students welfare activities.', 'All salary expenses of permanent staffs should be met from Non Plan and EAP’s of the University and no post creation is allowed under plan fund.', 'Institutional overheads are not included in State Plan provision of KAU in the budget.', 'Electricity, water charges etc.', 'which are non-plan items are not included under the plan provision.', 'The plan fund will be released as per the administrative sanction issued from Government similar to the system followed for other Universities.']",An amount of ₹44.00 lakh is provided for the implementation of students welfare programmes in KAU.
1,Construction of office building for the newly formed Block Panchayats,300.00,"The scheme was started in 2011-12 for the construction of office building to the newly formed six Block Panchayats as part of the reorganization of Block Panchayats in 2010. The new Block Panchayats are Kalikavu in Malappuram district, Panamaram in Wayanad district, Kalyasserri & Panoor in Kannur district and Parappa & Karadukka in Kasaragod district. The construction of building for Parappa, Karadukka and Panoor Block Panchayats has been completed. An amount of ₹300.00 lakh is provided in the Budget 2021-22 for the completion of the building works and settling the pending payments in respect of the remaining three Block Panchayats viz; Kalikavu, Panamaram and Kalyasserri.
","['The scheme was started in 2011-12 for the construction of office building to the newly formed six Block Panchayats as part of the reorganization of Block Panchayats in 2010.', 'The new Block Panchayats are Kalikavu in Malappuram district, Panamaram in Wayanad district, Kalyasserri & Panoor in Kannur district and Parappa & Karadukka in Kasaragod district.', 'The construction of building for Parappa, Karadukka and Panoor Block Panchayats has been completed.', 'An amount of ₹300.00 lakh is provided in the Budget 2021-22 for the completion of the building works and settling the pending payments in respect of the remaining three Block Panchayats viz; Kalikavu, Panamaram and Kalyasserri.']","The scheme was started in 2011-12 for the construction of office building to the newly formed six Block Panchayats as part of the reorganization of Block Panchayats in 2010.$*An amount of ₹300.00 lakh is provided in the Budget 2021-22 for the completion of the building works and settling the pending payments in respect of the remaining three Block Panchayats viz; Kalikavu, Panamaram and Kalyasserri."
2,Mahatma Gandhi National Rural Employment Guarantee Programme (MGNREGP),23010.00,"Mahatma Gandhi National Rural Employment Guarantee Programme is one of the ‘core of the core programmes’ of Government of India, implemented on a cost sharing basis by the Centre and State. Hundred per cent of the unskilled wage & administrative costs and 75% of material cost are borne by the Government of India; whereas 25% of material cost are met by the Government of Kerala. 
The National Rural Employment Guarantee Act seeks to provide for the enhancement of livelihood security of the households in rural areas by providing at least 100 days of guaranteed wage employment with minimum wages in every financial year to every household whose adult members volunteer to do unskilled manual work and register their names with the LGs concerned. All the workers irrespective of gender are entitled to get equal wages under the programme. MGNREGP is a demand driven programme.
In the recent years, considering the job loss in many sectors particularly due to the floods in two successive years and the Covid 19 pandemic, the State Government has initiated many steps to utilize the full potential of MGNREGP through convergence with other departmental schemes that focus on similar focal points and by meticulous planning and earnest implementation. In 2021-22, efforts will be taken to enhance average person days of employment; aimed at enhancing the livelihood security of the registered workers. It is planned to generate 10 crore person days which will result in payment of ₹2910 crore as wages. 
Women Component
As per MGNREG Act, at least 1/3rd of the beneficiaries shall be women who have registered and requested for work under the scheme. However, in Kerala, it is expected that more than 90% of person day generation will be by women workers. The scheme comes under the broad umbrella of ‘Haritha Keralam Mission’.
An amount of ₹23010.00 lakh is provided for the scheme as State share during 2021-22. ","['Mahatma Gandhi National Rural Employment Guarantee Programme is one of the ‘core of the core programmes’ of Government of India, implemented on a cost sharing basis by the Centre and State.', 'Hundred per cent of the unskilled wage & administrative costs and 75% of material cost are borne by the Government of India; whereas 25% of material cost are met by the Government of Kerala.', 'The National Rural Employment Guarantee Act seeks to provide for the enhancement of livelihood security of the households in rural areas by providing at least 100 days of guaranteed wage employment with minimum wages in every financial year to every household whose adult members volunteer to do unskilled manual work and register their names with the LGs concerned.', 'All the workers irrespective of gender are entitled to get equal wages under the programme.', 'MGNREGP is a demand driven programme.', 'In the recent years, considering the job loss in many sectors particularly due to the floods in two successive years and the Covid 19 pandemic, the State Government has initiated many steps to utilize the full potential of MGNREGP through convergence with other departmental schemes that focus on similar focal points and by meticulous planning and earnest implementation.', 'In 2021-22, efforts will be taken to enhance average person days of employment; aimed at enhancing the livelihood security of the registered workers.', 'It is planned to generate 10 crore person days which will result in payment of ₹2910 crore as wages.', 'Women Component\nAs per MGNREG Act, at least 1/3rd of the beneficiaries shall be women who have registered and requested for work under the scheme.', 'However, in Kerala, it is expected that more than 90% of person day generation will be by women workers.', 'The scheme comes under the broad umbrella of ‘Haritha Keralam Mission’.', 'An amount of ₹23010.00 lakh is provided for the scheme as State share during 2021-22.']","In 2021-22, efforts will be taken to enhance average person days of employment; aimed at enhancing the livelihood security of the registered workers.$*It is planned to generate 10 crore person days which will result in payment of ₹2910 crore as wages.$*An amount of ₹23010.00 lakh is provided for the scheme as State share during 2021-22."
3,Pradhan Mantri Gram Sadak Yojana (PMGSY) (40% State Share),10000.00,The objective of Pradhan Mantri Gram Sadak Yojana (PMGSY) is to establish rural connectivity by connecting unconnected habitations with all-weather resistant roads of high quality. The Kerala State Rural Roads Development Agency (KSRRDA) is the nodal agency for implementing the scheme. The funding pattern of the scheme between Centre and State is in the ratio of 60:40. An amount of ₹10000.00 lakh is provided as 40% State share for the scheme during 2021-22.,"['The objective of Pradhan Mantri Gram Sadak Yojana (PMGSY) is to establish rural connectivity by connecting unconnected habitations with all-weather resistant roads of high quality.', 'The Kerala State Rural Roads Development Agency (KSRRDA) is the nodal agency for implementing the scheme.', 'The funding pattern of the scheme between Centre and State is in the ratio of 60:40.', 'An amount of ₹10000.00 lakh is provided as 40% State share for the scheme during 2021-22.']",An amount of ₹10000.00 lakh is provided as 40% State share for the scheme during 2021-22.
4,State Support for PMGSY,2000.00,"In the case of Pradhan Mantri Gram Sadak Yojana (PMGSY), in addition to the State share, the expenditure towards tender excess, shifting of utilities, quality monitoring and maintenance of PMGSY roads which completed defect liability period are to be met by the State. An amount of ₹2000.00 lakh is provided for the scheme during 2021-22.
","['In the case of Pradhan Mantri Gram Sadak Yojana (PMGSY), in addition to the State share, the expenditure towards tender excess, shifting of utilities, quality monitoring and maintenance of PMGSY roads which completed defect liability period are to be met by the State.', 'An amount of ₹2000.00 lakh is provided for the scheme during 2021-22.']",An amount of ₹2000.00 lakh is provided for the scheme during 2021-22.
